Country Code,City Name,Secondary City Name,Low,High
JP,Tokyo,Chiyoda,1000000,1000014
JP,Tokyo,Chiyoda,1006001,1029999
JP,Tokyo,Chuo,1030000,1049999
JP,Tokyo,Minato,1050000,1089999
JP,Tokyo,Taito,1100000,1119999
JP,Tokyo,Bunkyo,1120000,1139999
JP,Tokyo,Kita,1140000,1159999
JP,Tokyo,Arakawa,1160000,1169999
JP,Tokyo,Adachi,1200000,1239999
JP,Tokyo,Katsushika,1240000,1259999
JP,Tokyo,Sumida,1300000,1319999
JP,Tokyo,Edogawa,1320000,1349999
JP,Tokyo,Koto,1350000,1369999
JP,Tokyo,Shinagawa,1400000,1429999
JP,Tokyo,Ohta,1430000,1469999
JP,Tokyo,Shibuya,1500000,1519999
JP,Tokyo,Meguro,1520000,1539999
JP,Tokyo,Setagaya,1540000,1589999
JP,Tokyo,Shinjuku,1600000,1639999
JP,Tokyo,Nakano,1640000,1659999
JP,Tokyo,Suginami,1660000,1689999
JP,Tokyo,Shinjuku,1690000,1699999
JP,Tokyo,Toshima,1700000,1719999
JP,Tokyo,Itabashi,1730000,1759999
JP,Tokyo,Nerima,1760000,1799999
JP,Tokyo ,Musashino,1800000,1809999
JP,Tokyo ,Mitaka,1810000,1819999
JP,Tokyo ,Choufu,1820000,1829999
JP,Tokyo ,Fuchu,1830000,1839999
JP,Tokyo ,Kokubunji-Shi,1858533,1858533
JP,Tokyo ,Kunitachi,1860000,1869999
JP,Tokyo ,Tachikawa,1900000,1900099
JP,Tokyo ,Hino,1918501,1918501
JP,Tokyo ,Akishima,1960000,1960034
JP,Tokyo ,Tama,2060000,2060099
JP,Kawasaki,Kawasaki,2100000,2109999
JP,Kawasaki,Nakahara,2110000,2119999
JP,Kawasaki,Saiwai ,2120000,2129999
JP,Kawasaki,Takatsu,2130000,2139999
JP,Yokohama,Nishi,2200000,2200099
JP,Yokohama,Nishi,2206000,2209999
JP,Yokohama,Kanagawa,2210000,2219999
JP,Yokohama,Kouhoku ,2220000,2239999
JP,Yokohama,Tsuduki,2240000,2249999
JP,Yokohama,Tsurumi,2300000,2309999
JP,Yokohama,Naka,2310000,2319999
JP,Yokohama,Isogo,2350000,2359999
JP,Yokohama,Kanazawa,2360000,2369999
JP,Kanagawa,Yamato,2420000,2420029
JP,Kanagawa,Atsugi,2430000,2430099
JP,Kanagawa,Atsugi,2430120,2430299
JP,Kanagawa,Ebina,2430400,2430435
JP,Kanagawa,Atsugi,2430800,2430999
JP,Kanagawa,Fujisawa,2510000,2510057
JP,Kanagawa,Fujisawa,2510861,2510877
JP,Kanagawa,Zama,2520000,2520027
JP,Kanagawa,Sagamihara Midori-Ku,2520131,2520131
JP,Kanagawa,Sagamihara Midori-Ku,2520132,2520132
JP,Kanagawa,Sagamihara Midori-Ku,2520134,2520134
JP,Kanagawa,Sagamihara Midori-Ku,2520146,2520146
JP,Kanagawa,Sagamihara Chuo-Ku,2520200,2520254
JP,Kanagawa,Sagamihara Minami-Ku,2520300,2520344
JP,Kanagawa,Fujisawa,2520801,2520826
JP,Kanagawa,Ayase,2521100,2521137
JP,Kanagawa,Chigasaki ,2530000,2530088
JP,Kanagawa,"Samukawa machi, Kouza-County",2530100,2530114
JP,Kanagawa,Hiratsuka,2540000,2540915
JP,Kanagawa,Hadano,2570000,2570057
JP,Kanagawa,Isehara,2591100,2591147
JP,Kanagawa,Hiratsuka,2591201,2591220
JP,Kanagawa,Hadano,2591301,2591335
JP,Chiba,Chuo,2600000,2609999
JP,Chiba,Mihama,2610000,2619999
JP,Chiba,Hanamigawa,2620000,2629999
JP,Chiba,Inage,2630000,2639999
JP,Chiba,Funabashi,2701471,2701471
JP,Chiba,Ichikawa,2720000,2729999
JP,Chiba,Funabashi,2730000,2730099
JP,Chiba,Funabashi,2730800,2730999
JP,Chiba,Funabashi,2740000,2749999
JP,Chiba,Narashino ,2750000,2759999
JP,Chiba,Narita,2820000,2820021
JP,Chiba,Narita,2860000,2860199
JP,Chiba,Narita,2860300,2860899
JP,Chiba,Shibayama,2891600,2891699
JP,Tochigi,Utsunomiya,3200000,3200999
JP,Tochigi,Utsunomiya,3210000,3210000
JP,Tochigi,Utsunomiya,3210100,3210199
JP,Tochigi,Utsunomiya,3210300,3210399
JP,Tochigi,Utsunomiya,3210400,3210499
JP,Tochigi,Utsunomiya,3210900,3210999
JP,Tochigi,Utsunomiya,3212100,3212199
JP,Tochigi,Utsunomiya,3213200,3213299
JP,Tochigi,Mooka ,3214300,3214499
JP,Tochigi,Mooka ,3214551,3214551
JP,Tochigi,Utsunomiya,3291100,3291199
JP,Saitama,Urawa/Ohmiya,3300000,3309999
JP,Saitama,Nishi/Kita,3310000,3319999
JP,Saitama,Kawaguchi,3320000,3339999
JP,Saitama,Hatogaya,3340000,3340019
JP,Saitama,Kawaguchi,3340051,3349999
JP,Saitama,Toda,3350000,3350000
JP,Saitama,Warabi,3350000,3350009
JP,Saitama,Toda,3350010,3359999
JP,Saitama,Minami/Midori,3360000,3369999
JP,Saitama,Minuma,3370000,3379999
JP,Saitama,Chuo/Sakura,3380000,3389999
JP,Saitama,Iwatsuki,3390000,3399999
JP,Saitama,Souka- City ,3400000,3400056
JP,Saitama,Kuki- City,3400201,"3400218
"
JP,Saitama,Yashio-City,3400800,3400835
JP,Saitama,Misato-City,3410000,3410059
JP,Saitama,Yoshikawa- City,3420000,3420059
JP,Saitama,Koshigaya-City ,3430000,3430047
JP,Saitama,Koshigaya-City ,3430801,3430856
JP,Saitama,Kasukabe-City,3440000,3440136
JP,Saitama,Kuki- City,3460000,3460115
JP,Saitama,Kazo- City,3470000,3470126
JP,Saitama,Hanyu-City,3480000,3480071
JP,Saitama,Kuki- City,3491101,3491125
JP,Saitama,Kazo- City,3491131,3491158
JP,Saitama,Kawagoe-City,3500001,3500857
JP,Saitama,Koshigaya,3430822,3430822
JP,Nagano,Ueda,3861212,3861212
JP,Shiga,Otsu,5202141,5202141
JP,Osaka,Suita,5640063,5640063
JP,Osaka,Settsu,5660034,5660034
JP,Hyogo,Nishinomiya,6628580,6628580
JP,Hyogo,Ashiya-shi,6730849,6730849
JP,Saitama,Sakado-City,3500200,3500278
JP,Saitama,Kawagoe-City,3501100,3501192
JP,Saitama,Kawagoe-City,3508555,3508555
JP,Saitama,Asaka-City,3510000,3510036
JP,Saitama,Niiza- City,3520000,3520035
JP,Saitama,Higashi Matsuyama-City,3550011,3550048
JP,Saitama,Higashi Matsuyama-City,3550052,3550052
JP,Saitama,Higashi Matsuyama-City,3550062,3550064
JP,Saitama,Higashi Matsuyama-City,3550071,3550077
JP,Saitama,Hiki-Gun Ranzan-Town,3550202,3550221
JP,Saitama,Hiki-Gun Ranzan-Town,3550227,3550227
JP,Saitama,Hannno-City,3570004,3570004
JP,Saitama,Hannno-City,3570021,3570022
JP,Saitama,Hannno-City,3570024,3570025
JP,Saitama,Hannno-City,3570034,3570035
JP,Saitama,Iruma-City,3580000,3580055
JP,Saitama,Tokorozawa-City,3590000,3590047
JP,Saitama,Tokorozawa-City,3591101,3591167
JP,Saitama,Gyoda- City ,3610000,3610084
JP,Saitama,Ageo-City,3620000,3620076
JP,Gunma,Takasaki,3700000,3700099
JP,Gunma,Isesaki & Ohta,3700100,3700499
JP,Gunma,Takasaki,3700800,3700899
JP,Gunma,Takasaki,3701200,3701299
JP,Gunma,Maebashi ,3703570,3703579
JP,Gunma,Maebashi ,3710000,3710099
JP,Gunma,Maebashi ,3710120,3710139
JP,Gunma,Maebashi ,3710200,3710299
JP,Gunma,Maebashi ,3710800,3710899
JP,Gunma,Isesaki,3720000,3729999
JP,Gunma,Ohta,3730000,3739999
JP,Gunma,Tatebayashi,3740000,3740099
JP,Gunma,Maebashi ,3792100,3792199
JP,Gunma,Isesaki & Ohta,3792200,3792399
JP,Nagano,Nagano,3800000,3810199
JP,Nagano,Nagano,3811200,3812399
JP,Nagano,Nagano,3813161,3813199
JP,Nagano,Ueda,3860000,3860499
JP,Nagano,Ueda,3860503,3860503
JP,Nagano,Ueda,3860508,3860599
JP,Nagano,Ueda,3861100,3861599
JP,Nagano,Nagano,3888000,3889999
JP,Nagano,"Sakaki, Hanishina County",3890600,3890606
JP,Nagano,"Sakaki, Hanishina County",3890681,3890681
JP,Nagano,Matsumoto,3900000,3900999
JP,Nagano,Matsumoto,3901130,3901139
JP,Nagano,Matsumoto,3901240,3901299
JP,Nagano,Matsumoto,3901500,3909999
JP,Nagano,Chino,3910000,3910019
JP,Nagano,Chino,3910200,3910299
JP,Nagano,Suwa,3920000,3929999
JP,Nagano,"Shimo Suwa,Suwa-County",3930000,3939999
JP,Nagano,Okaya,3940000,3949999
